spp,size,family,fg,habitat,Included
Synodus capricornis,21,Synodontidae,Piscivore,Reef,1
Synodus dermatogenys,24,Synodontidae,Piscivore,Reef,1
Synodus intermedius,46,Synodontidae,Piscivore,Reef,1
Synodus lobeli,23.4,Synodontidae,Piscivore,Reef,1
Synodus saurus,40,Synodontidae,Piscivore,Reef,1
Synodus sp,40,Synodontidae,Piscivore,Reef,1
Synodus sp,40,Synodontidae,Piscivore,Reef,1
Synodus ulae,30,Synodontidae,Piscivore,Reef,1
Synodus variegatus,40,Synodontidae,Piscivore,Reef,1
Taenianotus triacanthus,10,Scorpaenidae,Piscivore,Reef,1
Taeniura meyeni,330,Dasyatidae,Pisci-invertivore,Reef,1
Thalassoma amblycephalum,16,Labridae,Micro-invertivore,Reef,1
Thalassoma ballieui,39.5,Labridae,Micro-invertivore,Reef,1
Thalassoma bifasciatum,25,Labridae,Micro-invertivore,Reef,1
Thalassoma duperrey,28,Labridae,Micro-invertivore,Reef,1
Thalassoma duperrey,28,Labridae,Micro-invertivore,Reef,1
Thalassoma duperrey,28,Labridae,Micro-invertivore,Reef,1
Thalassoma hardwicke,20,Labridae,Micro-invertivore,Reef,1
Thalassoma hardwicke,20,Labridae,Micro-invertivore,Reef,1
Thalassoma hebraicum,23,Labridae,Micro-invertivore,Reef,1
Thalassoma heiseri,11.6,Labridae,Micro-invertivore,Reef,1
Thalassoma jansenii,20,Labridae,Micro-invertivore,Reef,1
Thalassoma jansenii,20,Labridae,Micro-invertivore,Reef,1
Thalassoma lunare,45,Labridae,Micro-invertivore,Reef,1
Thalassoma lutescens,30,Labridae,Micro-invertivore,Reef,1
Thalassoma purpureum,46,Labridae,Micro-invertivore,Reef,1
Thalassoma quinquevittatum,17,Labridae,Micro-invertivore,Reef,1
Thalassoma quinquevittatum,17,Labridae,Micro-invertivore,Reef,1
Thalassoma sp,35,Labridae,Micro-invertivore,Reef,1
Thalassoma sp,35,Labridae,Micro-invertivore,Reef,1
Thalassoma sp,35,Labridae,Micro-invertivore,Reef,1
Thalassoma trilobatum,30,Labridae,Micro-invertivore,Reef,1
Acanthocybium solandri,250,Scombridae,Piscivore,Pelagic,0
Trachinocephalus myops,40,Synodontidae,Piscivore,Reef,1
Euthynnus affinis,100,Scombridae,Piscivore,Pelagic,0
Gymnosarda unicolor,248,Scombridae,Piscivore,Pelagic,0
Katsuwonus pelamis,110,Scombridae,Piscivore,Pelagic,0
Rastrelliger kanagurta,38,Scombridae,Planktivore,Pelagic,0
Scomberomorus commerson,240,Scombridae,Piscivore,Pelagic,0
Scomberomorus regalis,183,Scombridae,Piscivore,Pelagic,0
Thunnus albacares,239,Scombridae,Piscivore,Pelagic,0
Sphyraena barracuda,200,Sphyraenidae,Piscivore,Pelagic,0
Sphyraena helleri,80,Sphyraenidae,Piscivore,Pelagic,0
Sphyraena picudilla,61,Sphyraenidae,Piscivore,Pelagic,0
Sphyraena qenie,170,Sphyraenidae,Piscivore,Pelagic,0
Sphyrna lewini,430,Sphyrnidae,Piscivore,Pelagic,0
Upeneus arge,36.5,Mullidae,Pisci-invertivore,Reef,1
Upeneus moluccensis,22,Mullidae,Macro-invertivore,Reef,1
Upeneus moluccensis,22,Mullidae,Pisci-invertivore,Reef,1
Urolophus jamaicensis,76,Urolophidae,Micro-invertivore,Reef,1
Valenciennea strigata,18,Gobiidae,Detritivore,Reef,1
Variola albimarginata,65,Serranidae,Piscivore,Reef,1
Variola louti,83,Serranidae,Piscivore,Reef,1
Xanthichthys auromarginatus,30,Balistidae,Planktivore,Reef,1
Xanthichthys caeruleolineatus,35,Balistidae,Planktivore,Reef,1
Xanthichthys mento,30,Balistidae,Planktivore,Reef,1
Xyrichtys aneitensis,24,Labridae,Micro-invertivore,Reef,1
Xyrichtys baldwini,20,Labridae,Micro-invertivore,Reef,1
Xyrichtys pavo,41,Labridae,Micro-invertivore,Reef,1
Xyrichtys umbrilatus,17.5,Labridae,Micro-invertivore,Reef,1
Zanclus cornutus,23,Zanclidae,Micro-invertivore,Reef,1
Zebrasoma desjardinii,40,Acanthuridae,Grazer,Reef,1
Zebrasoma flavescens,20,Acanthuridae,Grazer,Reef,1
Zebrasoma rostratum,21,Acanthuridae,Grazer,Reef,1
Zebrasoma scopas,40,Acanthuridae,Grazer,Reef,1
Zebrasoma sp,40,Acanthuridae,Grazer,Reef,1
Zebrasoma veliferum,40,Acanthuridae,Grazer,Reef,1
