"","spp","SPECIES","FAMILY","COMMONFAMILYALL","TROPHIC_MONREP","size","family","fg","habitat","Included"
"122","Caranx ignobilis","CAIG","Carangidae","Jack","PISCIVORE",170,"Carangidae","Piscivore","Pelagic",0
"123","Caranx lugubris","CALU","Carangidae","Jack","PISCIVORE",100,"Carangidae","Piscivore","Pelagic",0
"124","Caranx melampygus","CAME","Carangidae","Jack","PISCIVORE",117,"Carangidae","Piscivore","Pelagic",0
"125","Caranx papuensis","CAPP","Carangidae","Jack","PISCIVORE",88,"Carangidae","Piscivore","Pelagic",0
"126","Caranx sexfasciatus","CASE","Carangidae","Jack","PISCIVORE",120,"Carangidae","Piscivore","Pelagic",0
"127","Caranx sp","CASP","Carangidae","Jack","PISCIVORE",80,"Carangidae","Piscivore","Pelagic",0
"128","Carcharhinus amblyrhynchos","CAAB","Carcharhinidae","Requiem","PISCIVORE",255,"Carcharhinidae","Piscivore","Unknown",0
"129","Carcharhinus galapagensis","CAGA","Carcharhinidae","Requiem","PISCIVORE",370,"Carcharhinidae","Piscivore","Unknown",0
"130","Carcharhinus melanopterus","CAML","Carcharhinidae","Requiem","PISCIVORE",200,"Carcharhinidae","Piscivore","Unknown",0
"131","Centropyge bicolor","CEBC","Pomacanthidae","Angelfish","PRIMARY",15,"Pomacanthidae","Micro-invertivore","Reef",1
"132","Centropyge bispinosa","CEBI","Pomacanthidae","Angelfish","PRIMARY",10,"Pomacanthidae","Micro-invertivore","Reef",1
"133","Centropyge fisheri","CEFI","Pomacanthidae","Angelfish","PRIMARY",7.5,"Pomacanthidae","Micro-invertivore","Reef",1
"134","Centropyge flavissima","CEFL","Pomacanthidae","Angelfish","PRIMARY",14,"Pomacanthidae","Micro-invertivore","Reef",1
"135","Centropyge heraldi","CEHE","Pomacanthidae","Angelfish","PRIMARY",10,"Pomacanthidae","Micro-invertivore","Reef",1
"136","Centropyge interruptus","CEIN","Pomacanthidae","Angelfish","PRIMARY",15,"Pomacanthidae","Micro-invertivore","Reef",1
"137","Centropyge loricula","CELO","Pomacanthidae","Angelfish","PRIMARY",15,"Pomacanthidae","Micro-invertivore","Reef",1
"138","Centropyge multifasciata","CEMU","Pomacanthidae","Angelfish","SECONDARY",12,"Pomacanthidae","Micro-invertivore","Reef",1
"139","Centropyge potteri","CEPO","Pomacanthidae","Angelfish","PRIMARY",10,"Pomacanthidae","Micro-invertivore","Reef",1
"140","Centropyge shepardi","CESH","Pomacanthidae","Angelfish","PRIMARY",9,"Pomacanthidae","Micro-invertivore","Reef",1
"141","Centropyge vrolikii","CEVR","Pomacanthidae","Angelfish","PRIMARY",12,"Pomacanthidae","Micro-invertivore","Reef",1
"142","Cephalopholis argus","CEAR","Serranidae","Grouper","PISCIVORE",60,"Serranidae","Pisci-invertivore","Reef",1
"143","Cephalopholis argus","CEAR","Serranidae","Grouper","PISCIVORE",60,"Serranidae","Pisci-invertivore","Reef",1
